,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8668894458368143,0.8966861598440545,0.029796714007240266
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.8941798941798942,0.031746031746031744
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8880534670008354,0.025619604566972987
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.8902812587023113,0.028404344193817876
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.9064327485380117,0.011417432470064104
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.9030910609857978,0.01253132832080206
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.9050403787245892,0.016986911723753773
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.9042049568365358,0.02367028682818162
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8874965190754665,0.047062099693678694
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.8822055137844611,0.03870788081314391
10,VocalSound,PANNs,84778075,PSH-L1,0.8618769145084935,0.8866610971874129,0.024784182678919464
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.8727373990531885,0.02589807852965742
12,VocalSound,PANNs,84778075,TST-L1,0.3659147869674185,0.8933444722918407,0.5274296853244221
13,VocalSound,PANNs,84778075,TST-L2,0.366750208855472,0.8852687273739905,0.5185185185185186
