,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,PANNs,WHN,L1,0.8669,0.0001,0.8977,0.0015,0.0307,0.0015
1,VocalSound,PANNs,WHN,L2,0.8624,0.0,0.8958,0.0014,0.0334,0.0014
2,VocalSound,PANNs,ENQ,L1,0.8624,0.0,0.8891,0.0013,0.0266,0.0013
3,VocalSound,PANNs,ENQ,L2,0.8619,0.0,0.89,0.0017,0.0281,0.0017
4,VocalSound,PANNs,END1,L1,0.895,0.0,0.905,0.0012,0.01,0.0012
5,VocalSound,PANNs,END1,L2,0.8906,0.0,0.9034,0.0008,0.0128,0.0008
6,VocalSound,PANNs,END2,L1,0.8881,0.0,0.9043,0.0012,0.0163,0.0012
7,VocalSound,PANNs,END2,L2,0.8805,0.0,0.9032,0.0012,0.0227,0.0012
8,VocalSound,PANNs,ENSC,L1,0.8404,0.0,0.8873,0.0008,0.0468,0.0008
9,VocalSound,PANNs,ENSC,L2,0.8435,0.0,0.882,0.0007,0.0385,0.0007
10,VocalSound,PANNs,PSH,L1,0.8619,0.0001,0.8865,0.0002,0.0246,0.0002
11,VocalSound,PANNs,PSH,L2,0.8468,0.0,0.8726,0.0003,0.0258,0.0003
12,VocalSound,PANNs,TST,L1,0.3659,0.0001,0.8913,0.0016,0.5254,0.0017
13,VocalSound,PANNs,TST,L2,0.3669,0.0002,0.8857,0.001,0.5187,0.001
14,VocalSound,PANNs,Global,L1,0.7972,0.0,0.8945,0.0011,0.0972,0.0011
15,VocalSound,PANNs,Global,L2,0.7932,0.0,0.8904,0.001,0.0971,0.001
