,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8668894458368143,0.809802283486494,-0.0570871623503203
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.7961570593149541,-0.06627680311890838
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8407128933444723,-0.02172096908939014
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.8487886382623224,-0.013088276246171038
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.8671679197994987,-0.0278473962684489
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.8590921748816486,-0.0314675577833472
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.8677248677248677,-0.02032859927596775
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.8632692843219159,-0.017265385686438317
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8156502367028683,-0.024784182678919464
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.8167641325536062,-0.026733500417710943
10,VocalSound,PANNs,84778075,PSH-L1,0.8618769145084935,0.6184906711222501,-0.24338624338624337
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.5686438318017265,-0.27819548872180455
12,VocalSound,PANNs,84778075,TST-L1,0.36563631300473404,0.657198551935394,0.29156223893065997
13,VocalSound,PANNs,84778075,TST-L2,0.3670286828181565,0.6516290726817042,0.28460038986354774
