,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8671679197994987,0.8120300751879699,-0.05513784461152882
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.8000556947925369,-0.06237816764132553
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8407128933444723,-0.02172096908939014
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.8476747424115845,-0.014202172096908994
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.8638262322472848,-0.031189083820662766
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.8546365914786967,-0.035923141186299024
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.8649401280980228,-0.02311333890281264
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.8615984405458089,-0.01893622946254525
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8131439710387078,-0.02729044834307992
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.8178780284043442,-0.025619604566972987
10,VocalSound,PANNs,84778075,PSH-L1,0.8618769145084935,0.5948203842940685,-0.267056530214425
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.5939849624060151,-0.252854358117516
12,VocalSound,PANNs,84778075,TST-L1,0.36563631300473404,0.6772486772486772,0.3116123642439432
13,VocalSound,PANNs,84778075,TST-L2,0.3670286828181565,0.6379838485101643,0.27095516569200784
