,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,PANNs,WHN,L1,0.8671,0.0002,0.8105,0.0012,-0.0566,0.0012
1,VocalSound,PANNs,WHN,L2,0.8624,0.0,0.8019,0.0044,-0.0605,0.0044
2,VocalSound,PANNs,ENQ,L1,0.8624,0.0,0.8411,0.0008,-0.0213,0.0008
3,VocalSound,PANNs,ENQ,L2,0.8619,0.0,0.8471,0.0013,-0.0148,0.0013
4,VocalSound,PANNs,END1,L1,0.895,0.0,0.8658,0.0014,-0.0292,0.0014
5,VocalSound,PANNs,END1,L2,0.8906,0.0,0.8566,0.0017,-0.034,0.0017
6,VocalSound,PANNs,END2,L1,0.8881,0.0,0.8663,0.0013,-0.0218,0.0013
7,VocalSound,PANNs,END2,L2,0.8805,0.0,0.8609,0.0019,-0.0197,0.0019
8,VocalSound,PANNs,ENSC,L1,0.8404,0.0,0.8146,0.0011,-0.0258,0.0011
9,VocalSound,PANNs,ENSC,L2,0.8435,0.0,0.8177,0.0022,-0.0258,0.0022
10,VocalSound,PANNs,PSH,L1,0.862,0.0002,0.6151,0.0123,-0.2468,0.0123
11,VocalSound,PANNs,PSH,L2,0.8468,0.0,0.5828,0.0125,-0.264,0.0125
12,VocalSound,PANNs,TST,L1,0.3657,0.0002,0.6637,0.02,0.2979,0.02
13,VocalSound,PANNs,TST,L2,0.367,0.0,0.652,0.0104,0.285,0.0104
14,VocalSound,PANNs,Global,L1,0.7972,0.0001,0.7824,0.0054,-0.0148,0.0054
15,VocalSound,PANNs,Global,L2,0.7932,0.0,0.7741,0.0049,-0.0191,0.0049
