,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8671679197994987,0.45335561125034807,-0.41381230854915063
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.45614035087719296,-0.4062935115566695
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.7042606516290727,-0.15817321080478974
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.72208298524088,-0.13979392926761347
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.7582846003898636,-0.13673071567808404
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.7195767195767195,-0.17098301308827624
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.7666388192703982,-0.1214146477304372
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.7474241158451684,-0.13311055416318573
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.5953773322194374,-0.2450570871623503
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.6090225563909775,-0.23447507658033973
10,VocalSound,PANNs,84778075,PSH-L1,0.8621553884711779,0.36257309941520466,-0.49958228905597324
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.3469785575048733,-0.4998607630186578
12,VocalSound,PANNs,84778075,TST-L1,0.3659147869674185,0.5366193260930103,0.1707045391255918
13,VocalSound,PANNs,84778075,TST-L2,0.3670286828181565,0.5185185185185185,0.151489835700362
