,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8671679197994987,0.44917850181008073,-0.41798941798941797
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.4625452520189362,-0.39988861041492624
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.7011974380395433,-0.16123642439431918
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.7262600946811473,-0.1356168198273462
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.7649679754942913,-0.1300473405736563
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.7360066833751044,-0.15455304928989133
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.771651350598719,-0.1164021164021164
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.7510442773600668,-0.12949039264828732
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.5953773322194374,-0.2450570871623503
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.6109718741297688,-0.23252575884154836
10,VocalSound,PANNs,84778075,PSH-L1,0.8621553884711779,0.35310498468393203,-0.5090504037872459
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.33723196881091616,-0.509607351712615
12,VocalSound,PANNs,84778075,TST-L1,0.3659147869674185,0.4954051796157059,0.12949039264828738
13,VocalSound,PANNs,84778075,TST-L2,0.3670286828181565,0.5082149818991925,0.14118629908103597
