,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,PANNs,WHN,L1,0.8672,0.0,0.4484,0.0101,-0.4188,0.0101
1,VocalSound,PANNs,WHN,L2,0.8624,0.0,0.4555,0.0044,-0.4069,0.0044
2,VocalSound,PANNs,ENQ,L1,0.8624,0.0,0.7013,0.0032,-0.1611,0.0032
3,VocalSound,PANNs,ENQ,L2,0.8619,0.0,0.7225,0.0026,-0.1393,0.0026
4,VocalSound,PANNs,END1,L1,0.895,0.0,0.7608,0.0038,-0.1342,0.0038
5,VocalSound,PANNs,END1,L2,0.8906,0.0,0.7293,0.0066,-0.1613,0.0066
6,VocalSound,PANNs,END2,L1,0.8881,0.0,0.7703,0.0022,-0.1177,0.0022
7,VocalSound,PANNs,END2,L2,0.8805,0.0,0.7495,0.0018,-0.131,0.0018
8,VocalSound,PANNs,ENSC,L1,0.8404,0.0,0.5969,0.003,-0.2436,0.003
9,VocalSound,PANNs,ENSC,L2,0.8435,0.0,0.61,0.0012,-0.2335,0.0012
10,VocalSound,PANNs,PSH,L1,0.8621,0.0001,0.3566,0.0069,-0.5055,0.0068
11,VocalSound,PANNs,PSH,L2,0.8468,0.0,0.3415,0.0057,-0.5054,0.0057
12,VocalSound,PANNs,TST,L1,0.3659,0.0001,0.5077,0.017,0.1418,0.017
13,VocalSound,PANNs,TST,L2,0.367,0.0,0.5079,0.0105,0.1409,0.0105
14,VocalSound,PANNs,Global,L1,0.7973,0.0,0.5917,0.0066,-0.2056,0.0066
15,VocalSound,PANNs,Global,L2,0.7932,0.0,0.588,0.0047,-0.2052,0.0047
